Scenario,TID,Test Data,Test Case Description,Pre-Condition,Test Steps,Steps to Execute,Expected Result,Actual Result,Executed QA Name,Misc (Comments),Priority,Is Automated,Status
Login,TC-001,Email: valid_user@company.com / Password: ValidP@ss123,Verify successful login with valid email and password credentials,User account exists and is active in VWO system,"1. Navigate to app.vwo.com  2. Enter valid email in email field  3. Enter valid password in password field  4. Click Login button","1. Navigate to app.vwo.com  2. Enter valid email in email field  3. Enter valid password in password field  4. Click Login button",User is redirected to the VWO main dashboard. Session is established and user sees personalized dashboard content.,,,,High,Yes,
Login,TC-002,"Email: invalid_format / Password: ValidP@ss123",Verify error message when email format is invalid,"User is on the login page at app.vwo.com","1. Navigate to app.vwo.com  2. Enter invalid email format (e.g. invalid_format) in email field  3. Enter valid password  4. Click Login button or trigger field blur","1. Navigate to app.vwo.com  2. Enter invalid email format (e.g. invalid_format) in email field  3. Enter valid password  4. Click Login button or trigger field blur",Real-time validation error displayed: "Please enter a valid email address". Login is not processed.,,,,High,Yes,
Login,TC-003,"Email: valid_user@company.com / Password: WrongPass1",Verify error handling when incorrect password is entered,User account exists with valid credentials,"1. Navigate to app.vwo.com  2. Enter valid email  3. Enter incorrect password  4. Click Login button","1. Navigate to app.vwo.com  2. Enter valid email  3. Enter incorrect password  4. Click Login button",Clear actionable error message displayed: "Invalid email or password". User remains on login page. Authentication is denied.,,,,High,Yes,
Login,TC-004,"Email: (empty) / Password: (empty)",Verify validation when both email and password fields are empty,User is on the login page at app.vwo.com,"1. Navigate to app.vwo.com  2. Leave email field empty  3. Leave password field empty  4. Click Login button","1. Navigate to app.vwo.com  2. Leave email field empty  3. Leave password field empty  4. Click Login button",Validation errors displayed for both fields: "Email is required" and "Password is required". Login is not processed.,,,,High,Yes,
Login,TC-005,"Email: valid_user@company.com / Password: ValidP@ss123 / Remember Me: checked",Verify Remember Me functionality persists user session across browser restarts,User account exists and is active,"1. Navigate to app.vwo.com  2. Enter valid credentials  3. Check the Remember Me checkbox  4. Click Login  5. After successful login close the browser completely  6. Reopen browser and navigate to app.vwo.com","1. Navigate to app.vwo.com  2. Enter valid credentials  3. Check the Remember Me checkbox  4. Click Login  5. After successful login close the browser completely  6. Reopen browser and navigate to app.vwo.com",User is automatically logged in or credentials are pre-filled. Session persists across browser restart via secure persistent cookie.,,,,Medium,Yes,
Login,TC-006,"Email: valid_user@company.com / Password: ValidP@ss123",Verify clickable labels focus the corresponding input field,User is on the login page at app.vwo.com,"1. Navigate to app.vwo.com  2. Click on the Email label text  3. Click on the Password label text","1. Navigate to app.vwo.com  2. Click on the Email label text  3. Click on the Password label text",Clicking on Email label focuses the email input field. Clicking on Password label focuses the password input field.,,,,Medium,Yes,
Login,TC-007,Not applicable,Verify auto-focus on the first input field (email) when login page loads,User navigates to app.vwo.com for the first time or in a new session,"1. Navigate to app.vwo.com  2. Observe which field has cursor focus on page load","1. Navigate to app.vwo.com  2. Observe which field has cursor focus on page load",The email input field automatically receives cursor focus upon page load without any user interaction.,,,,Low,Yes,
Login,TC-008,"Email: valid_user@company.com / Password: ValidP@ss123",Verify loading state indicator is displayed during authentication processing,User account exists and network conditions allow observation of loading state,"1. Navigate to app.vwo.com  2. Enter valid credentials  3. Click Login button  4. Observe UI during authentication request","1. Navigate to app.vwo.com  2. Enter valid credentials  3. Click Login button  4. Observe UI during authentication request",A loading spinner or progress indicator is displayed on the Login button or page during authentication processing. Button is disabled to prevent double submission.,,,,Medium,Yes,
Login,TC-009,Email: registered_user@company.com,Verify Forgot Password flow sends password reset email,User account exists with a valid email address,"1. Navigate to app.vwo.com  2. Click on Forgot Password link  3. Enter registered email address  4. Submit the password reset request  5. Check email inbox","1. Navigate to app.vwo.com  2. Click on Forgot Password link  3. Enter registered email address  4. Submit the password reset request  5. Check email inbox",A password reset email with a secure token link is sent to the registered email. Confirmation message displayed: "Password reset link sent to your email". Token is time-limited and single-use.,,,,High,Yes,
Login,TC-010,Email: unregistered_user@unknown.com,Verify Forgot Password flow handles unregistered email gracefully,Unregistered email that does not exist in VWO system,"1. Navigate to app.vwo.com  2. Click on Forgot Password link  3. Enter unregistered email  4. Submit the password reset request","1. Navigate to app.vwo.com  2. Click on Forgot Password link  3. Enter unregistered email  4. Submit the password reset request",System displays generic message (for security): "If an account exists for this email, a reset link has been sent" or similar non-revealing response. No account enumeration.,,,,High,Yes,
